"school_dbn","mean_algebra2","mean_english","school_name","percent_of_teachers_with_3_or_more_years_of_experience","percent_of_students_chronically_absent","rigorous_instruction_percent_positive","supportive_environment_percent_positive","economic_need_index"
"10X353",52.30769348,69.02173615,"World View High School",0.436,0.344,0.85,0.8,0.845
"10X374",68.9743576,76.23750305,"Knowledge and Power Preparatory Academy Internatio",0.575,0.466,0.8,0.77,0.856
"10X433",54.79999924,62.65408707,"High School for Teaching and the Professions",0.939,0.546,0.82,0.73,0.927
"10X434",63.95744705,67.11034393,"Belmont Preparatory High School",0.8,0.406,0.85,0.74,0.845
"10X437",61.6910553,68.10191345,"Fordham High School for the Arts",0.321,0.272,0.82,0.76,0.807
"10X438",57.45946121,61.44800186,"Fordham Leadership Academy",0.414,0.198,0.73,0.68,0.904
"10X439",62.03125,71.17796326,"Bronx High School for Law and Community Service",0.813,0.545,0.81,0.71,0.891
"10X440",67.48000336,62.34132767,"DeWitt Clinton High School",0.8,0.443,0.62,0.57,0.852
"10X442",59.77714157,71.38167572,"Celia Cruz Bronx High School of Music, The",0.688,0.329,0.83,0.69,0.81
"10X445",89.00523376,93.68048096,"The Bronx High School of Science",0.869,0.063,0.86,0.81,0.399
"10X477",72.40659332,74.23008728,"Marble Hill High School for International Studies",0.862,0.187,0.88,0.84,0.869
"10X546",59.19047546,64.95294189,"Bronx Theatre High School",0.889,0.658,0.7,0.64,0.911
"10X549",75.33333588,74.29412079,"Discovery High School",0.611,0.292,0.86,0.74,0.913
"10X696",85.71286774,95.26804352,"High School of American Studies at Lehman College",0.92,0.045,0.9,0.85,0.248
"11X249",52.20779037,70.09411621,"Bronx Health Sciences High School",0.842,0.232,0.78,0.62,0.715
"11X270",56.11111069,68.89898682,"Academy for Scholarship and Entrepreneurship: A Co",0.786,0.544,0.75,0.59,0.82
"11X288",73.76087189,76.80908966,"Collegiate Institute for Math and Science",0.743,0.345,0.81,0.67,0.72
"11X299",65.66972351,61.36315918,"Astor Collegiate Academy",0.759,0.452,0.78,0.63,0.746
"11X418",62.18181992,69.86631012,"Bronx High School for the Visual Arts",0.906,0.522,0.67,0.64,0.82
"11X455",71.80555725,68.05648804,"Harry S Truman High School",0.78,0.234,0.81,0.7,0.747
"11X508",61.33333206,61.57646942,"Bronxdale High School",0.538,0.428,0.87,0.8,0.772
"11X509",74.23999786,62.5,"High School of Language and Innovation",0.667,0.388,0.77,0.7,0.97
"11X513",67.21621704,67.39189148,"New World High School",0.72,0.259,0.86,0.76,0.952
"11X514",55.5,69.88721466,"The Bronxwood Preparatory Academy",0.769,0.244,0.8,0.69,0.776
"11X542",55.71697998,69.22485352,"Pelham Preparatory Academy",0.793,0.29,0.82,0.73,0.703
"11X544",54.11940384,62.73015976,"High School for Contemporary Arts",0.889,0.378,0.82,0.67,0.846
"11X545",46.44444275,58.77272797,"Bronx Aerospace High School",0.75,0.49,0.84,0.66,0.85
"12X251",65.34615326,62.60360336,"Explorations Academy H.S.",0.583,0.479,0.76,0.72,0.932
